alt,neu,klasse"
"FLUCHT","FLUCHT"," 2"
"Flucht vorbereiten","FLUCHT vorbereiten","2"
"Flug ohne weitere Komplikationen","Komplikationsfreier Flug","0"
"Flug zeugendes Transportmittel erhalten","Flugfähiges Transportmittel erhalten","2"
"Frucht beschaffen","FRUCHT besorgen","3"
"Frucht ergreifen","FRUCHT erfassen","3"
"Gastgeberschaft sichern","Potenziellen Feind zum Gastgeber gewinnen","1"
"Geboren werden","Zur Welt kommen","0"
"Gegenstand für alle Eventualitäten erhalten","Universellen Gegenstand erhalten","0"
"Geheimnis aufklären","Geheimnis aufklären","1"
"Gemenge entkommen","Einem Gemenge entkommen","1"
"Geschehen deuten","Den Vorgang deuten","0"
"Geschlechtswechsel erzielen","Geschlechtsumwandlung erzielen","0"
"GIER","GIER","2"
"Gier nachgehen","Der GIER nachgehen","2"
"Gold oder Geldproduzierenden Gegenstand oder Wesen aneignen","Sich einen gold oder GELDPRODUZIERENDEN Gegenstand oder Wesen ANEIGNEN","2"
"Gold oder Geldproduzierenden Gegenstand oder Wesen erhalten","Einen gold oder GELDPRODUZIERENDEN Gegenstand oder Wesen erhalten","2"
"Goldhaariges Kind gebären","Goldhaariges Kind zur Welt bringen","1"
"Handlungsanweisung aus zweiter Hand","Handlungsanweisungen aus zweiter Hand","0"
"Handlungsanweisung missachten","Handlungsanweisungen missachten","0"
"Hartes mit weichem spalten","Hartes Großes Mächtiges mit Weichem Kleinem Schwachem bewältigen","1,"
"Heilmittel beschaffen","HEILMITTEL besorgen","3"
"Heilmittel ergreifen","HEILMITTEL erfassen","3"
"Heimliche Liebesbeziehung","Geheime Liebesbeziehung","0"
"Heiraten","Heiraten","0"
"Held erkennen","Held erkennen","0"
"Helfer schlachten","ANGEBOT geopfert zu werden"," 3"
"Helfer schlachten","ANGEBOT nachgehen","1"
"Hitze entkommen","Hitze entkommen","1"
"Hochzeit verschieben","HOCHZEIT verschieben","2"
"Hohlen Gegenstand erhalten um sich darin zu verstecken","Hohlen Gegenstand zum Verstecken erhalten","0"
"Höfliches Verhalten","Gutes Benehmen","1"
"Identität testen","IDENTITÄT beweisen","3"
"Identität wechseln","IDENTITÄT ändern","2"
"Identitätswechsel gestehen","Der Wechsel der IDENTITÄT zugeben","2"
"Im Hinterhalt liegen","Im Verborgenen lauern","0"
"In Besitz eines beleuchtenden Gegenstandes gelingen","Eines BELEUCHTENDEN Gegenstandes habhaft werden","2"
"In Krieg ziehen","In den Krieg ziehen","0"
"Ins Mausoleum hinlegen","Im Mausoleum ruhen lassen","0"
"Jenseitswanderung durchführen","Jenseitswanderung unternehmen","1"
"Juwelen beschaffen","JUWELEN besorgen","3"
"Juwelen ergreifen","JUWELEN erfassen","3"
"Kampf gegen das Tier","Gegen ein Tier kämpfen","1"
"Kinderlosigkeit","Kinderlosigkeit","0"
"Kontakt abbrechen","KONTAKT abbrechen","2"
"Kontakt wiederherstellen","KONTAKT wiederherstellen","2"
"Krankheit","KRANKHEIT","2"
"Krankheit beheben","KRANKHEIT beheben","3"
"Krisenursache ergründen","Krisenursachen ergründen","0"
"Kälte entkommen","Kälte entkommen","1"
"Königswahl Teilnehmen","An Königswahl teilnehmen","1"
"Körperteil eines Tieres beschaffen","TIERKÖRPERTEIL besorgen","3"
"Körperteil eines Tieres ergreifen","TIERKÖRPERTEIL erfassen","3"
"Körperteile werden zu Edelmetall","Menschliche Körperteile in Edelmetall verwandeln","0"
"Kühnheit beweisen","Tapferkeit beweisen","1"
"Letzte Chance erhalten","Letzte Gelegenheit nützen","0"
"Liebe","LIEBE wird ausgelöst","2"
"Liebe nachgehen","Der LIEBE nachgehen","2"
"Markieren","MARKIERUNGEN anbringen","2"
"Markieren erkennen","MARKIERUNGEN erkennen","2"
"Massenbedrohung","MASSENBEDROHUNG","2"
"Massenbedrohung beheben","MASSENBEDROHUNG beheben","2"
"Mehrere Aufgaben nacheinander erfüllen","Mehrere Aufgaben in Folge erledigen","1"
"Mehrere Gegner nacheinander köpfen","Mehrere Gegner nacheinander besiegen","0"
"Menschliche Opfergabe beheben","Menschliche OPFERGABE beheben","3"
"Menschliches Opfer fordern","Eine menschliche OPFERGABE verlangen","2"
"Milch beschaffen","MILCH besorgen","3"
"Milch ergreifen","MILCH erfassen","3"
"Missetat Aneignen","MISSETAT wie Aneignung","2"
"Missetat Behinderung","MISSETAT wie Behinderung","2"
"Missetat Entmachten","MISSETAT wie Entmachtung","2"
"Missetat Hinterhalt","MISSETAT wie Hinterhalt","2"
"Missetat Im Stich lassen","MISSETAT wie Jemanden im Stich lassen","2"
"Missetat Kanibalismus","MISSETAT wie Kannibalismus","2"
"Missetat Tötung","MISSETAT wie Tötung","2"
"Missetat Unterschieben des Helden","MISSETAT wie ein Surrogat unterschieben"," 2"
"Missetat Verborgene Waffe","MISSETAT wie Falle stellen","2"
"Missetat Vergiftung","MISSETAT wie Vergiftung versuchen","2"
"Missetat beheben","MISSETAT beheben","2"
"Missetat planen","MISSETAT planen","2"
"Missgeburt","Missgeburt","0"
"Mittel zum Herbeirufen aneignen","Sich das Mittel zum HERBEIRUFEN ANEIGNEN","2"
"Mittel zum Herbeirufen erhalten","Mittel zum HERBEIRUFEN erhalten","2"
"Musikinstrument beschaffen","MUSIKINSTRUMENT besorgen","3"
"Musikinstrument ergreifen","MUSIKINSTRUMENT erfassen","3"
"Mut zeigen","Mut zeigen","0"
"Behinderung durch die Verstümmelung","BEHINDERUNG durch Verstümmelung","2"
"Nahrung geht aus","Nahrungsvorrat aufgebraucht","0"
"Neugier auslösen","NEUGIER auslösen","2"
"Neugier nachgehen","Der NEUGIER nachgehen","2"
"Notwendiges wunderbarerweise beschaffen","Notwendiges auf wunderbare Weise besorgen","0"
"Nutztier beschaffen","NUTZTIER besorgen","3"
"Nutztier ergreifen","NUTZTIER erfassen","3"
"Ortswechsel gelingen","Ortswechsel erfolgreich durchführen","1"
"Pferd beschaffen","REITTIER besorgen","3"
"Pferd ergreifen","REITTIER erfassen","3"
"Pflanze beschaffen","PFLANZE besorgen","3"
"Pflanze ergreifen","PFLANZE erfassen","3"
"Pförtner besänftigen","Pförtner besänftigen","3"
"Pförtner entkommen","PFÖRTNER entkommen","2"
"Pförtner täuschen","PFÖRTNER täuschen","3"
"Proviantproduzierenden Gegenstand aneignen","Sich PROVIANTPRODUZIERENDEN Gegenstand ANEIGNEN","2"
"Proviantproduzierenden Gegenstand erhalten","PROVIANTPRODUZIERENDEN Gegenstand erhalten","2"
"Provozieren","PROVOKATION","2"
"Provozieren nachgehen","Der PROVOKATION nachgehen","2"
"Prächtige Kleidung und Schmuck erhalten","Prächtige Kleidung und Schmuck erhalten","0"
"Reiterkünste beweisen","Reitkünste zeigen","1"
"Reittier ergreifen","REITTIER erfassen","3"
"Reittier ergreifen","REITTIER besorgen","3"
"Reittier erhalten","REITTIER erhalten","2,"
"Respektlosigkeit","RESPEKTLOSIGKEIT","2"
"Respektlosigkeit beheben","Der RESPEKTLOSIGKEIT entgegentreten","2"
"Richtiges auswählen","Richtiges auswählen","1"
"Richtiges erlangen","Richtiges erlangen","1"
"Schatz finden","Schatz entdecken","1"
"Schicksal ausweichen","SCHICKSAL abwenden","2"
"Dem Schicksal entkommen","Dem SCHICKSAL entkommen","2"
"Schicksalsbestimmender Weisung folgen","Schicksalsbestimmender Weisung folgen","0"
"Schlaf","SCHLAF","2"
"Schlaf beenden","SCHLAF unterbrechen","2"
"Schlagstock erhalten","Strafvollstreckenden Gegenstand wie Knüppel erhalten","0"
"Schlichtung von Streit","Streit schlichten","1"
"Schrecken auslösen","Schrecken auslösen","0"
"Schweigenplicht beheben","SCHWEIGEPFLICHT beheben","2"
"Schweigenplicht erhängen","SCHWEIGEPFLICHT verhängen","2*,"
"Schöne beschaffen","Die SCHÖNE herbeiholen","3"
"Schöne ergreifen","Die SCHÖNE erfassen","3"
"Seltenen Gegenstand beschaffen","SELTENEN Gegenstand besorgen","3"
"Seltenen Gegenstand ergreifen","SELTENEN Gegenstand erfassen","2"
"Sich abseilen lassen","Sich abseilen LASSEN","2"
"Sich auf Einschleuser einlassen","Sich auf Eindringlinge einlassen","0"
"Sich magischem Eingriff unterziehen","Sich einem magischen Eingriff unterziehen","1"
"Sich oder Andere tragen lassen","Sich oder andere tragen LASSEN","2"
"Sich oder andere hochziehen lassen","Sich oder Andere hochziehen LASSEN","2"
"Sonstige Aufgabe erfüllen","SONSTIGE AUFGABE erledigen","3"
"Sonstige Aufgabe anpacken","SONSTIGE AUFGABE anpacken","3"
"Sonstiges aneignen","Sich sonstige Dinge ANEIGNEN","2"
"Sorge um Freikaufsbedürftigen","Sorge um Freikaufsbedürftige","1"
"Sorge um Hilfsbedürftigen","Sorge um Hilfsbedürftige","1"
"Sorge um Hungrigen oder Durstigen","Sorge um Hungernde oder Durstige","1"
"Sorge um Pflegebedürftigen","Sorge um Pflegebedürftige","1"
"Sorge um Schutzbedürftigen","Sorge um Schutzbedürftige","1"
"Staunen lassen","Zum STAUNEN bringen","2"
"Staunen nachgehen","Dem STAUNEN nachgehen","2"
"Sterben von Angehörigen","Tod von Angehörigen","0"
"Sterbliche Überreste wie etwa Knochen begraben","Knochen begraben","1"
"Stifter oder Helfer gewinnen","Stifter oder Helfer gewinnen","1"
"Tabu Behälter nicht öffnen","TABU Behälter nicht öffnen","2"
"Tabu Feuer darf nicht erlöschen","TABU Feuer darf nicht erlöschen","2"
"Tabu Fremde nicht einlassen","TABU keine Eindringlinge einlassen","2"
"Tabu Gegenstand nicht weitergeben","TABU Gegenstand nicht weitergeben","2"
"Tabu Haus nicht verlassen dürfen","TABU Haus nicht verlassen dürfen","2"
"Tabu Land nicht betreten","TABU Land nicht betreten","2"
"Tabu Schweigegebot","TABU Schweigegebot","2"
"Tabu Sich vom Etwas fernhalten","TABU sich von Etwas fernhalten","2"
"Tabu Sich von Jemandem fernhalten","TABU sich von Jemandem fernhalten","2"
"Tabu Sonstiges","TABU Sonstiges","2"
"Tabu Tier nicht erschießen","TABU Tier nicht töten","2"
"Tabu Tierhaut nicht verbrennen","TABU Tierhaut nicht verbrennen","2"
"Tabu Türe nicht öffnen dürfen","TABU Türe nicht öffnen dürfen","2"
"Tabu Zeit nicht überziehen","TABU Frist nicht überziehen","2"
"Tabu Zielort erreichen ohne Pause","TABU keine Pause machen","2"
"Tabu nicht einschlafen dürfen","TABU nicht einschlafen dürfen","2"
"Tabu nicht küssen","TABU nicht küssen","2"
"Tabu wird gebrochen","TABU brechen","2"
"Tabubruchfolge rückgängig machen","Folgen eines TABUbruches rückgängig machen","2"
"Tarnkappe erhalten","Tarnkappe erhalten","0"
"Tier als Patron erhalten","Tier als Schutzgeist erhalten","0"
"Tier gegen Tier kämpfen lassen","Tiere gegeneinander kämpfen lassen","1"
"Tiere hüten","Tiere HÜTEN","2"
"Tiere hüten","Tiere HÜTEN anpacken","2"
"Tiere mästen","Tiere MÄSTEN","2"
"Tiere mästen anpacken","Tiere MÄSTEN anpacken","2"
"Tierjunges erhalten","Tierjunges erhalten","0"
"iderag","TODESAUFTRAG","2"
"Todesauftrag entkommen","Einem TODESAUFTRAG entkommen","2"
"Traum vom künftigen Aufstieg","Traum vom sozialen Aufstieg","0"
"Treuen Helfer ergreifen","TREUEN HELFER finden","3"
"Treuen Helfer erhalten","TREUEN HELFER erhalten","2"
"Truhe anfertigen","Truhe herstellen","1"
"Turm Zaun Berg hinaufsteigen","Turm Zaun oder Berg hinaufsteigen","0 Ortswechsel erfolgreich durchführen","1"
"Tötung","TÖTUNG","2 "
"Um Gegenleistung bitten","Um Gegenleistung bitten","0"
"Unersättlichkeit","Unerträgliche Unersättlichkeit","0"
"Unerwartete Wendung zum Guten","Überraschende positive Wendung","0"
"Ungeheuer beschaffen","UNGEHEUER herbeiholen","3"
"Ungeheuer ergreifen","UNGEHEUER erfassen","2"
"Ungeheuerlichkeit unerträglich","Unerträgliche Ungeheuerlichkeit","0"
"Ungewünschte Verlobung","ungewollte VERLOBUNG","2"
"Ungewünschte Verlobung nachgehen","ungewollter VERLOBUNG nachgehen","2"
"Ungewünschter Heiratsantrag","Ungewollter HEIRATSANTRAG","2"
"Ungewünschter Heiratsantrag nachgehen","Ungewolltem HEIRATSANTRAG nachgehen","2"
"Ungewünschtes Wesen aus dem Weg räumen","Ungewünschtes Wesen beseitigen","0"
"Unsichtbar beobachten","Heimlich beobachten","0"
"Verbannung","VERBANNUNG","2"
"Verbannung beheben","VERBANNUNG beheben","2"
"Verfolgung","VERFOLGUNG","2"
"Verfolgung entkommen","VERFOLGUNG entkommen","2"
"Verfolgung hindern","VERFOLGUNG verzögern","2"
"Vergeltung Angst um Angst","Angst mit Angst vergelten","0"
"Vergütung Gegenleistung um Hilfe","Gegenleistung für Hilfe gewähren","0"
"Verleumdung beheben","VERLEUMDUNG beheben","2"
"Verleumdung der Tötung des Kindes","VERLEUMDUNG bei Kindstötung","2"
"Verleumdung von Schädigung","VERLEUMDUNG bei Schädigung","2"
"Verleumdung von Untreue","VERLEUMDUNG bei Untreue","2"
"Verleumdung von Untreue","VERLEUMDUNG entgegensetzen","2"
"Verlust entgegentreten","Dem VERLUST entgegentreten","2"
"Verlust von Tieren Früchten Ernte usw","VERLUST von Tieren Früchten Ernte usw ","2"
"Vermittlung erhalten","Vermittlung erhalten","0"
"Verschlingen","VERSCHLINGEN","2"
"Verschlingen beheben","VERSCHLINGEN beheben","3"
"Versprechen gegen der Hilfe","VERSPRECHEN im Austausch für Hilfe","2"
"Versprechen halten","Ein VERSPRECHEN halten","2"
"Versprechen von Hilfe erhalten","Hilfeversprechen erhalten","0"
"Verstecken als Rettungsmaßnahme","Verstecken als Rettung","0"
"Versteinerung","VERSTEINERUNG","2"
"Versteinerung beheben","VERSTEINERUNG beheben","3"
"Vertrag abschließen","VERTRAG abschließen","2"
"Vertrag appellieren","Auf dem VERTRAG bestehen","2"
"Vertrag erlösen","VERTRAG auflösen","2"
"Vertrauen testen","VERTRAUEN prüfen","2"
"Vertrauensverlust erfolgt","VERTRAUEN verlieren","2"
"Vertreibung","VERTREIBUNG","2"
"Vertreibung beheben","VERTREIBUNG beheben","2"
"Viel Holz beschaffen","HOLZ besorgen","2"
"Viel Holz beschaffen anpacken","HOLZ Sammeln anpacken","2"
"Viel essen","Große Mengen ESSEN","1"
"Viele Kinder werden auf einmal geboren","Mehrlingsgeburt erfolgt","0"
"Vogel beschaffen","VOGEL herbeiholen","3"
"Vogel ergreifen","VOGEL erfassen","3"
"Vorhersagen treffen","Vorhersagen treffen","0"
"Vortäuschen angeblicher Testnotwendigkeit","Angebliche Testnotwendigkeit VORTÄUSCHEN","2"
"Vortäuschen angeblicher Unwissenheit Unsicherheit","Unwissenheit oder Unsicherheit VORTÄUSCHEN","2"
"Vortäuschen der Heldentat","Heldentat VORTÄUSCHEN","2"
"Vortäuschen einer Abweisung","Eine Apathie VORTÄUSCHEN","2"
"Vortäuschen einer Bedrohung","Eine Bedrohung VORTÄUSCHEN","2"
"Vortäuschen einer Gastfreundlichkeit","Gastfreundlichkeit VORTÄUSCHEN","2"
"Vortäuschen einer Heilkunst","Heilkunst VORTÄUSCHEN","2"
"Vortäuschen einer Kollaboration","Kollaborationsbereitschaft VORTÄUSCHEN","2"
"Vortäuschen einer Krankheit","Krankheit VORTÄUSCHEN","2"
"Vortäuschen einer Rebellion des Zielobjektes","Rebellion des Zielobjektes VORTÄUSCHEN","2"
"Vortäuschen einer Reichen Erbschaft","Reiche Erbschaft VORTÄUSCHEN","2"
"Vortäuschen einer Treue","Treue VORTÄUSCHEN","2"
"Vortäuschen einer Wachsamkeit Anwesenheit","Wachsamkeit oder Anwesenheit VORTÄUSCHEN","2"
"Vortäuschen eines Reichtums","Reichtum VORTÄUSCHEN","2"
"Vortäuschen eines Todes","Tod VORTÄUSCHEN","2"
"Vortäuschen eines Verlustes","Verlust VORTÄUSCHEN","2"
"Vortäuschen nachgehen","Dem VORTÄUSCHEN nachgehen","2"
"Vortäuschen richtiges mitzuteilen","Kollaborationsbereitschaft VORTÄUSCHEN","2"
"Vortäuschen während der Niederkunft","MISSETAT ein Surrogat unterschieben","2"
"Wache halten","Wache halten","1"
"Wassermangel auslösen","WASSERMANGEL","2"
"Wassermangel beheben","WASSERMANGEL beheben","3"
"Wegweisung mit Optionen","Wegweisung mit ALTERNATIVEN","2"
"Wegweisung mit Optionen nachgehen","Den ALTERNATIVEN nachgehen","2"
"Weihe vorschreiben","WEIHE anordnen","2"
"Weihen durchführen","WEIHE vollziehen","2"
"Weisheiten erhalten","WEISHEITEN erhalten","2"
"Weisheiten erhalten","WEISHEITEN nachgehen","2"
"Werben um den Auftrag","Um einen Auftrag werben","0"
"Werben um den Mann","Um einen Mann werben","0"
"Werben um die Frau","Um eine Frau werben","0"
"Wetten Versteckwette","VERSTECKWETTE","3"
"Wetten Versteckwette","VERSTECKWETTE anpacken","2"
"Wetten dass der Freier die Braut verführt","Wette um die Verführung der Braut","1"
"Wettkampf","WETTKAMPF",","
"Wettkampf anpacken","WETTKAMPF anpacken",","
"Wettlauf","Wettlauf",","
"Wiederbelebung","TÖTUNG beheben","2"
"Wild beschaffen","WILD besorgen",","
"Wild ergreifen","WILD erfassen",","
"Wunderbare Empfängnis","Wunderbare EMPFÄNGNIS",","
"Zauberkunst erlernen","Zauberkunst erlernen",","
"Zauberkunstfertigkeit gewährleisten","Zauberkunstfertigkeit gewährleisten",","
"Zaubermittel Ausrüstung oder die Waffe ausprobieren","ZAUBERMITTEL Ausrüstung oder WAFFE ausprobieren",","
"Zaubermittel Ausrüstung oder die Waffe einsetzen","ZAUBERMITTEL Ausrüstung oder WAFFE einsetzen",","
"Zaubermittel aneignen","Sich ZAUBERMITTEL ANEIGNEN",","
"Zaubermittel erhalten","ZAUBERMITTEL erhalten",","
"Zollerhebung vollstrecken","ZOLLERHEBUNG vollstrecken",""
"Zollerhebung vollstrecken anpacken","ZOLLERHEBUNG anpacken",""
"Zug von Reisenden bzw Karavane folgen","Zug von Reisenden oder Karavane folgen",""
"Zum Schlafen bringen","Zum Schlafen bringen","0"
"Zurückgreifen","Auf Hilfsquelle zurückgreifen",""
"Zusammenbringen aller Beteiligten","Zusammenbringen aller Handlungsträger",""
"Zuschnappendes Hindernis überwinden","Zuschnappendes Hindernis überwinden","1"
"Zwangsehe Drohung","ZWANGSEHE Drohung",""
"Zwangsehe Drohung beheben","ZWANGSEHE Drohung beheben",","
"Zweikampf","Zweikampf","1"
"external soul vernichten","EXTERNEN SEELE vernichten","2"
"Überraschen","Überrascht werden","0"
"Überweisung an anderen Stifter oder Helfer","Weiterverweisung an anderen Stifter oder Helfer","0"
"Hintergrund aufklären","Sachverhalt aus der Vergangenheit aufklären","0"
