quelle,labela,labelb1,labelc1,labelb2,labelc2,labelb3,labelc3,labelb4,labelc4,labelb5,labelc5,labeld,inhalt,index_binar
zyx_cc_agx_rus_57,N,N,N,N,N,N,N,N,N,N,N,N,спустя три дня они добрались туда пусть останутся там пока а мы расскажем о белом дьяволе этот последний узнал что рустам идет что он хочет унести голову и разрушить город если это так думал белый дьявол я должен поставить караульщиков и он так и сделал люди в городе белого дьявола однако предупредили рустама говоря нельзя таким образом если они тебя увидят то все узнают кто ты запрут двери и не впустят тебя ты же не похож на других одна твоя спина шириной в 12 аршин если не проберешься в город хитростью совсем не сможешь войти — а как мне это сделать спросил рустам вот так утром караульщики разойдутся и тогда ты сможешь войти в город — а как я узнаю когда они разойдутся спросил рустам опять мы здесь останемся около тебя и скажем тебе — хорошо сказал рустам они провели ночь с ним и когда настал момент сказали теперь пора идти рустам взял свое оружие и вошел в город караульщики хотя и видели его но так испугались что ни одного слова не сказали издали рустам увидел голову своего деда и закричал от ярости крик был такой сильный что беременные женщины сделали выкидыши рустам дошел до ворот снял голову деда и снова закричал дьяволы узнали о прибытии рустама и дали об этом знать своему падишаху постарайтесь задержать его пока я приду сказал дьяволпадишах дьяволы пошли навстречу рустаму и сказали ему нас слабых ты конечно победишь но если ты настоящий мужчина то подожди пока придет наш падишах — подожду никуда не пойду ответил рустам я хочу отомстить за своего деда я только иду передать эту голову купцам скажите это вашему падишаху и потревожьте свой народ сказав вернулся к товарищам отдал им голову деда сел на свою лошадь рахш и вернулся в крепость падишах дьяволов встречал его на колеснице запряженной слонами нука сказал рустам рахшу теперь помоги мне стянуть его вниз схватил его и старался стащить его с колесницы рахш помогал ему но ослаб сломал себе поясницу и упал ужасно разгневился рустам схватил дьявола за рог бросил его на землю и ударил его так сильно ногою что сердце и внутренности дьявола выскочили из его тела теперь к вам сказал рустам дьяволам которые окружив его напали на него ужасными ударами он им отрубил головы в крепости стоял громадный гвалт шум и крик когда купцы услышали что там происходит они послали в свой город бить тревогу и сказать отцу рустама и падишаху как дела те сейчас прилетели на помощь но когда они пришли то рустам уже перебил всех дьяволов в крепости и сам уже вернулся все отправились домой у рустама руки распухли на три дня когда они пришли домой то спросили у рустама что с тобой что ты сделал — я принес голову деда и перебил всех в крепости ответил он спасибо тебе сказали все рустам отдохнул,0
zyx_cc_agx_rus_57,N,N,N,N,N,N,N,N,N,N,N,N,прошло несколько дней заметили что на берегу моря каждый день исчезает 100 человек из войска падишах велел сказать залу что это не рустам ли поедает этих людей что с ними происходит — не знаю ответил зал спроситека самого рустама потом он пошел и сказал этому последнему эй сынок вот эти люди пришли спросить тебя они хотят знать не ты ли поедаешь этих сто людей которые ежедневно исчезают падишах подозревает тебя рустам сказал сегодня я не могу ответить вам но завтра  ночью он пошел на берег моря и стал караулить видит что из моря выходит лошадь приближается к войскам поедает сто человек и уходит обратно в море утром рустам рассказал своему отцу что он видел и добавил сегодня я поймаю этого пожирателя наших войск отец рустама зал отправился к дарю и сообщил ему о наблюдениях своего сына тот сделал себе сеть и ночью отправился поймать лошадь он поймал ее и привел к царю падишах посмотрел и видит седло есть и сабля на которой написано «чахи чачби чатбахил бэхри я — лошадь рустама»,0
zyx_cc_ani_rus_13,N,N,N,N,N,N,N,N,N,N,N,N,цыганъ и воръ были друзьями путешествовали они по разнымъ местамъ и гуляли въ одномъ месте цыганъ увиделъ очень красивую девушку и влюбился въ нее страстно другъ егд увиделъ ту же самую красавицу и влюбился также въ нее когда оба они встретились дома то сказали другъ другу «ей богу‚ чтб за красавицу я виделъ» но они не знали что оба видезли одну и ту же самую двушку,0
zyx_cc_ani_rus_13,N,N,N,N,N,N,N,N,N,N,N,N,разъ воръ встретилъ цытана у своей красавицы «го го цыганъ» сказалъ онъ «что ты здесь делаешь» — «да она же моя возлюбленная»— «неть моя» возразилъ воръ «ну что же намъ дълать эй ты девушка скажи кого ты любишь» — «ей богу» сказала она «мне все равно я буду принадлежать тому кто совершить самое великое дело» — «хорошо» сказали цыганъ и воръ,0
zyx_cc_ani_rus_13,N,N,N,N,N,N,N,N,N,N,N,N,они ушли и отправились на базаръ чтобы исполнить желание любимой девушки цыганъ вынулъ изъ кармана у одного купща кошелекъ съ 99 червонщцами положилъ въ него свое золотое кольцо и все обратно всунуль вь карманъ купца позволивъ кулцу удалиться немножко онъ вдругъ бросился на него схватилъ его и сказалъ «ты укралъ мое золото — «неть я ничего не бралъ» ответилъ купецъ «укралъ» утверждалъ опять цыганъ началась ссора полицейске прибъжали и повели въ участокъ цыгана и купца въ участке цыганъ объявилъ что купецъ у него кошелекъ «99 червонцевъ и золотое кольцо были въ немъ» сказалъ онъ «нетъ я ничего не бралъ» сказалъ купецъ «эти 99 червонцевъ мои собственные» полицейскее искали въ кармане купца и нашли тамъ действительно 99 червонцевъ и кольцо которыя они и отняли у него и передали цыгану купца же арестовали цыгана отпустили онъ пошелъ домой къ девушеке,0
zyx_cc_ani_rus_13,N,N,N,N,N,N,N,N,N,N,N,N,вор вошёл «нет я ничего не брал» сказал купец «эти 99 червонцев мои собственные» полицейские искали в карманах купца и нашли там действительно 99 червонцев и кольцо которые они и отняли у него и передали цыгану купца же арестовали цыгана отпустили он пошёл домой к двушке,0
zyx_cc_ani_rus_13,N,N,N,N,N,N,N,N,N,N,N,N,вор же прежде всего купил много ключей в городе селении где он жил был хан который имел 7 комнат одна приходилась внутри другой и крепкие решетки защищали их у первой двери этих комнат лежали храбрые собаки у второй были ямщики у третьей нукеры у четвертой семейство хана у пятой его визири у шестой он сам у седьмой гусь этого гуся именно вор хотел украсть ночью он отправился в путь взяв с собой ключи и тесто которое он смешал на водке прибыв к дому хана он бросил это тесто собакам которые конечно опьянели от него затем он открыл комнату ямщиков которых он нашел спящими как и нукеров и семейство хана и визирей потом он открыл комнату хана сам хан тоже спал но около него сидел нукер который чесал ему спину и жевал свою жвачку вор взял длинный волос и осторожно сунул его сбоку в рот нукера нукер все жевал и когда волос прилип к жвачке то вор вынул ее изо рта нукера который тотчас же заснул потом вор зарезал гуся и сварил его там же нукера он убил повесил его труп на дворе на столбе и лег спать немного около самого хана затем он пошёл домой и рассказал все любимой девушке «вот что я сделал» сказал он «ну кто из нас совершил самый большой подвиг» — «ей богу я подумаю немножко и потом скажу» ответила девушка,0
zyx_cc_ani_rus_13,N,N,N,N,N,N,N,N,N,N,N,N,когда хан на следующий день увидел что случилось то собрал свой народ и сказал «люди вот что случилось моего гуся украли нукера убили узнайте кто это сделал» — «этого человека мы не знаем хан» ответили люди «и не можем знать но если он сам признается то прости его» вор признался и хан простил его «я это сделал» сказал вор «потому что мы с цыганом спорили изза этой девицы которая должна принадлежать более храброму из нас цыган так сделал как выше было рассказано я — так цыгана хан велел убить девица вышла за вора которого хан взял к себе»,0
zyx_cc_ani_rus_14,N,N,N,N,N,N,N,N,N,N,N,N,это было в то время когда на свете еще не было царей были только ханы которые владели народом в это время жилбыл сапожник у которого был сын ханы имели тогда право убивать или оставлять в живых кого они желали наш сапожник воспитывал своего сына у себя дома но боялся что хан его убьет сын вырос без ведома хана ну вот хан узнал что сапожник тайно воспитывал своего сына и позвал этого последнего к себе «хан тебя зовет» сказал сапожник своему сыну «иди» — «нет бога ради не пойду» ответил сын «я боюсь что он меня убьет» потом он взял деньги убежал и стал разбойником,0
zyx_cc_ani_rus_14,N,N,N,N,N,N,N,N,N,N,N,N,народ скоро узнал об этом и так как они очень боялись хана то они пристали к сыну сапожника образовалась шайка из 100150 человек,0
zyx_cc_ani_rus_14,N,N,N,N,N,N,N,N,N,N,N,N,в это время возникла ссора между двумя ханами из которых один причинил другому вред вот один из них тот который повредил другому послал к разбойнику и велел ему сказать «я тебе дам много золота и серебра если ты мне будешь помогать причини вред моему противнику и убей его если ты его убьешь я тебе дам много казны» сын сапожника собрал своих товарищей и убил этого хана потом люди убитого хана узнали что это другой хан подстрекнул разбойника убить его «мы тебе дадим полмиллиона если ты убьешь этого хана» сказали они разбойнику «хорошо я его убью» ответил тот взял предложенные деньги и убил хана,0
zyx_cc_ani_rus_14,N,N,N,N,N,N,N,N,N,N,N,N,после этого все народы соединились с разбойником «вот» сказал он «теперь все перешли на мою сторону теперь я могу отдохнуть» он созвал народ и сказал «люди теперь на свете уже ханов нет а нам нужно другое название называть меня разбойником  нельзя называть меня сыном сапожника  тоже нельзя найдите другое название»  «мы тебя будем называть парем» сказал народ так и сделали и с тех пор на свете существуют цари,0
zyx_cc_ani_rus_14,N,N,N,N,N,N,N,N,N,N,N,N,итак сын сапожника стал царем потом он назначил себе в помощники одного человека из рода прежних ханов раз царь его помощник и несколько офицеров гуляли в клубе там царь с помощником завели разговор о хорошем и дурном в этом мире «у кого деньги есть» сказал помощник «тот может сделать что ему угодно он только не может избежать несчастья и смерти»  «нет» сказал царь «деньги ничего не могут сделать» начали спорить один упрекал другого в том что он говорит неправду потом царь созвал свой диван суд совет и пригласил также помощника «слушай» сказал он этому последнему «я тебе дам денег сколько хочешь на расходы если ты только сможешь исполнить поручение которое я тебе предложу»  «я согласен хорошо скажи что ты хочешь поручить мне» ответил помощник потом они сделали перед диваном следующий договор «если помощник проиграет выколоть ему и его сыну глаза если царь проиграет царь станет помощником а помощник царем поручение царя помощник должен исполнить в течение одного года,0
zyx_cc_ani_rus_14,N,N,N,N,N,N,N,N,N,N,N,N,потом царь велел помощнику «сделай женщину из моей дочери лиши ее девственности» разошлись по домам,0
zyx_cc_ani_rus_14,N,N,N,N,N,N,N,N,N,N,N,N,царь выстроил чугунный дом чтобы в нем залечь свою дочь и снабдил его такими замками которые он один мог отпереть в этот дом перевел он свою дочь,0
zyx_cc_ani_rus_14,N,N,N,N,N,N,N,N,N,N,N,N,«ах что я сделаю» задумался помощник «как доберусь ли я до нее» глубоко он задумался в это время его сын вернулся домой из школы и нашел своего отца погруженным в размышления что с тобой отец зачем ты задумался спросил он ей богу сын я думаю о нашем договоре с царем ответил ему отец если я выиграю я буду царем а если проиграю то выколют глаза мне и тебе — ну а в чем дело ты должен исполнить спросил сын отца царь предоставил свою казну в мое распоряжение пользуясь этими деньгами я должен лишить девственности его дочь я и взялся за это дело и поэтому я задумался — это ничего сказал сын это небольшое дело — ты можешь теперь сделать что тебе угодно возразил отец сыну,0
zyx_cc_ani_rus_14,N,N,N,N,N,N,N,N,N,N,N,N,сын взял деньги и уехал гулять по всему свету если проиграем думал он все равно нам глаза выколют лучше погулять немножко разъезжал он деньги тратил свидания давал раз он приехал скажем в баку где он остановился в гостинице по дороге он нашел двух пьяных мужиков которые упали и валялись в грязи он позвал фаэтон и приказал извозчику отвезти их в гостиницу извозчик исполнил приказание но хозяева гостиницы не хотели принять их да ведь они грязные нельзя их пустить к себе сказали они что же возразил сын помощника я вам дам сколько вы требуете только оставьте их у себя и почистите их — с удовольствием сказали хозяева если ты за них будешь платить таким образом все вошли в гостиницу и отдохнули,0
zyx_cc_ani_rus_14,N,N,N,N,N,N,N,N,N,N,N,N,когда мужики придя в себя проснулись они сказали про себя ну что за место где мы находимся кто нас привел сюда давай спросим об этом хозяина так и сделали кто нас привел сюда хозяева ответили такойто потом мужики спросили кто этот человек он вышел и придет там они стояли у дверей потом он сын помощника тоже пришел к ним когда он пришел мы сняли шапки потом он взял фаэтон и спросил что вам нужно мы ответили мы пьяных людей не пустим хорошо  кто ты какая у тебя фамилия — я сын помощника царя ответил он я прогуливаюсь теперь ну на что ты если я скажу дело в том что мой отец с царем поссорились в клубе мой отец сказал что деньги могут все сделать а царь сказал нет сделай из моей дочери женщину если можешь денег ты можешь истратить сколько тебе угодно воля твоя но если ты истратишь эти деньги и не сделаешь женщину из моей дочери то мы выколем тебе глаза и твоему сыну а если тебе удастся лишить мою дочь девственности то ты будешь царем а я твоим помощником задумался мой отец и я тоже если не удастся выколют нам глаза и поэтому я гуляю теперь а то будет слишком поздно веселиться — хорошо сказали мужики когда ты вернешься домой когда придет ваше время — в мае месяце 20го числа ответил сын помощника хорошо иди теперь домой сказали мужики первого мая мы придем к вам и остановимся на краю вашего селения ты тоже приди тогда к нам — хорошо разошлись сын помощника поехал домой,0
zyx_cc_ani_rus_14,N,N,N,N,N,N,N,N,N,N,N,N,мужики действительно приехали туда в условленный день и разбили свою палатку на краю селения с ними была большая шарманка скоро сын помощника пришел к ним а пришли сказал он им да пришли ответили они слушай сын помощника ты нам очень большую услугу оказал теперь мы вознаградим тебя за это видишь эту шарманку мы сделали для тебя сегодня вечером когда вы все будете в клубе ты скажи царю вот из другого царства приехали два мужика у них есть шарманка которая производит очень хорошую музыку прикажи им прийти и играть в клубе конечно царь за нами пошлет и мы придем с шарманкой — хорошо сказал сын помощника и пошел домой,0
zyx_cc_ani_rus_14,N,N,N,N,N,N,N,N,N,N,N,N,вечером все собрались в клубе царь люди и музыка все были веселые царь сказал сын помощника у нас на краю селения два мужика из другого царства о какая у них есть хорошая музыка царь послал к ним человека с фаэтоном и пригласил их в клуб они приехали и играли очень хорошо на своей шарманке все очень удивились он дал мужикам денег и отпустил их когда они уходили царь сказал им продайте мне эту шарманку — нет ответили они даже если ты нам 100 миллионов дашь мы не продадим ее потом мужики сказали сыну помощника скажи народу что мы продаем ее если он скажет хорошо иди и привези ее и тогда приди сам — хорошо сказал сын помощника и пошел домой мужики же пошли в свою палатку,0
zyx_cc_ani_rus_14,N,N,N,N,N,N,N,N,N,N,N,N,на следующий вечер все собрались опять в клубе царь и публика и обыкновенная музыка но им казалось что шарманка мужиков гораздо лучше играет ах эта шарманка так хорошо играла сказал царь если бы только они продали ее — я достану ее сказал сын помощника хорошо беги и привези ее велел царь сын помощника взял два фаэтона и поехал к мужикам дома ли вы спросил он вот я приехал — хорошо заходи сказали мужики видишь прибавили они мы эту шарманку для тебя сделали залезай туда т е в шарманку видишь ли этот винт если ты его завернешь то она испортится но если ты завернешь тот винт то она будет играть ты залезай туда потом если царь велит привезти ее туда где дочь его живет она т е дочь наверно захочет чтобы шарманка играла потом ты заверни этот винт выйди и лиши дочь царя девственности после этого залезь опять в шарманку и заверни тот другой винт от которого она испортится мы с нашей стороны скажем что если она во время игры испортится то мы ее починим к нам ее тогда привезут мы тебя выпустим и отдадим ее обратно таким образом ты достигнешь своего намерения дом где принцесса жила был чугунный без привязания царя нельзя было отворить его,0
zyx_cc_ani_rus_14,N,N,N,N,N,N,N,N,N,N,N,N,сын помощника залез в шарманку мужики продали ее за миллион сказав при этом если она испортится привезите ее нам мы ее поправим и после она уже никогда не испортится визирь взял ее и вечером она очень хорошо играла в клубе царь обрадовался и пошел показать ее своей дочери которая уже целый год прожила в чугунном доме вот дочка сказал он ей эта шарманка очень хорошо играет она для тебя затем он запер двери чугунного дома и ушел принцесса играла на шарманке а сын помощника завернул винт и вышел откуда ты спросила принцесса которая была очень довольна они целовались играли и молодой человек лишил принцессу девственности затем он залез опять в шарманку и завернул другой винт отчего она и испортилась ах отец эта шарманка испортилась сказала принцесса царю это ничего дочка мы ее пошлем на починку и после уже она не испортится сказал царь и послал ее к мужикам испортилась ваша шарманка сказал визирь этим последним надо починить ее — хорошо давай ее сюда в палатку возразили мужики они взяли и открыли ее выпусти сына помощника починили и отдали ее назад визирь взял ее и повез обратно к царю между тем наступил срок назначенный царем и помощником собрались судьи и позвали врача царь сказал суду позовите сюда моего помощника и его сына так как назначенный день наступил послали гонца к помощнику который с сыном пришел в суд ну помощник ты говорил что нет ничего на свете чего нельзя было бы достать за деньги кроме неизбежной смерти и несчастья царь же сказал что деньги ничего не могут сделать и поручил тебе лишить его дочь девственности посредством денег срок был назначен на один день ты имел право тратить деньги сколько тебе угодно если ты не успел исполнить поручение царя мы должны выколоть глаза тебе и твоему сыну а если ты исполнил его ты будешь царем а царь  твоим помощником ну лишил ты принцессу девственности или нет — оставьте нам глаза сказал сын помощника пусть врач осмотрит принцессу — хорошо сказал суд врач осматривай ее позвали принцессу в суд врач осмотрел ее и нашел что она больше не дева таким образом помощник стал царем а царь  его помощником,0
